flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,1,1,1,1889,39.25,40.94,17.5,0.001,Không Thích
1,2,1,2,1889,31.56,38.38,16.62,0.003,Không Thích
0,2,1,0,1888,24.06,38.94,23.37,0.004,Không Thích
0,0,1,0,1888,25.12,38.0,23.19,0.004,Không Thích
1,2,0,0,1888,39.63,37.56,16.19,0.004,Không Thích
0,1,1,1,1889,31.31,37.5,19.56,0.003,Không Thích
1,1,0,1,1889,358.56,36.19,21.44,0.002,Không Thích
-1,2,2,1,1889,327.81,44.94,21.69,0.003,Không Thích
1,0,2,2,1889,286.94,51.88,5.5,0.003,Không Thích
0,1,2,0,1888,253.94,54.38,-24.31,0.002,Không Thích
0,1,2,0,1888,230.44,65.44,-53.5,0.004,Không Thích
-1,3,1,1,1889,203.12,107.44,-80.0,0.003,Không Thích
2,2,2,0,1888,208.62,115.31,-81.06,0.003,Không Thích
0,2,1,1,1888,200.87,98.69,-77.12,0.003,Không Thích
1,0,1,1,1889,211.12,77.06,-67.56,0.004,Không Thích
0,2,1,2,1888,235.06,60.75,-44.63,0.004,Không Thích
1,2,2,2,1888,265.87,68.62,-14.13,0.005,Không Thích
2,1,1,2,1888,299.12,62.38,6.44,0.002,Không Thích
-2,1,1,0,1888,325.94,42.81,11.38,0.002,Không Thích
-2,1,1,2,1888,359.81,35.88,19.62,0.002,Không Thích
-2,1,1,0,1888,26.94,32.25,19.75,0.002,Không Thích
-1,1,2,1,1888,37.63,39.44,20.81,0.004,Không Thích
0,1,1,0,1889,28.94,38.38,23.0,0.003,Không Thích
-1,1,1,1,1888,26.25,39.94,28.75,0.004,Không Thích
-1,2,1,0,1888,32.81,38.75,27.75,0.004,Không Thích
0,2,1,2,1888,44.38,37.94,23.12,0.002,Không Thích
0,1,2,1,1888,38.94,37.25,22.94,0.003,Không Thích
-1,1,1,0,1888,15.75,33.13,21.37,0.002,Không Thích
0,2,1,0,1888,328.69,31.0,18.31,0.002,Không Thích
1,1,58,3,1888,290.81,33.69,10.69,0.003,Không Thích
-2,1,1,1,1888,262.81,33.63,-13.69,0.003,Không Thích
-1,2,2,0,1889,244.19,45.69,-32.94,0.002,Không Thích
-1,1,12,1,1888,223.5,57.0,-55.13,0.002,Không Thích
0,0,0,3,1888,211.69,74.62,-73.56,0.001,Không Thích
0,0,3,3,1888,212.5,76.94,-71.69,0.002,Không Thích
0,2,0,5,1888,214.87,75.37,-64.94,0.004,Không Thích
-2,1,1,20,1889,222.81,74.56,-40.44,0.004,Không Thích
-1,2,1,2,1888,267.19,77.5,-8.06,0.003,Không Thích
626,1,2,18,1888,327.69,69.5,21.81,0.004,Không Thích
494,1,1,1,1888,4.25,46.88,27.37,0.002,Không Thích
0,2,1,0,1889,20.56,31.37,18.25,0.001,Không Thích
10,1,1,4,1888,45.13,33.5,13.81,0.003,Không Thích
1,2,0,1,1889,43.69,32.94,15.31,0.002,Không Thích
1,2,0,1,1889,33.44,32.81,18.75,0.002,Không Thích
1,1,0,1,1888,29.94,34.19,21.5,0.003,Không Thích
1,1,1,3,1889,37.44,34.94,17.19,0.003,Không Thích
0,2,2,42,1888,44.81,37.06,12.75,0.001,Không Thích
-1,1,1,0,1889,38.13,32.81,13.31,0.001,Không Thích
0,1,1,0,1888,15.5,26.94,21.37,0.002,Không Thích
0,0,3,1,1889,344.25,31.81,26.87,0.002,Không Thích
1,1,2,2,1889,302.37,45.5,22.0,0.003,Không Thích
0,1,2,2,1888,262.56,44.13,-3.69,0.003,Không Thích
2,2,1,1,1889,245.87,46.38,-27.87,0.004,Không Thích
0,2,1,1,1888,234.0,46.56,-45.88,0.002,Không Thích
0,1,1,3,1888,215.75,59.88,-69.44,0.002,Không Thích
-1,1,1,2,1889,202.37,83.0,-80.19,0.002,Không Thích
1,1,1,1,1889,203.31,79.62,-74.19,0.003,Không Thích
1,1,1,1,1889,203.31,69.81,-66.12,0.002,Không Thích
1,1,3,1,1888,216.0,68.94,-47.0,0.004,Không Thích
1,1,1,0,1889,249.06,74.12,-16.81,0.002,Không Thích
2,3,1,0,1889,297.5,74.06,14.38,0.002,Không Thích
1,2,2,1,1889,341.75,54.13,28.5,0.002,Không Thích
1,2,2,1,1889,9.56,36.81,24.12,0.003,Không Thích
1,9,2,223,1889,42.13,33.5,16.19,0.001,Không Thích
1,2,1,2,1889,46.88,38.06,19.69,0.001,Không Thích
0,2,2,0,1889,37.06,36.31,22.62,0.001,Không Thích
1,1,1,250,1889,33.38,36.25,28.75,0.002,Không Thích
1,1,3,412,1888,33.81,35.0,25.81,0.003,Không Thích
44,0,1,2,1889,44.5,35.69,18.5,0.003,Không Thích
-1,0,1,0,1888,39.0,35.25,18.81,0.002,Không Thích
1,2,1,1,1889,16.0,30.62,20.06,0.003,Không Thích
1,2,0,2,1888,334.62,27.12,18.87,0.003,Không Thích
0,1,1,-1,1889,294.0,17.12,16.0,0.002,Không Thích
0,1,70,2,1888,267.06,24.5,1.06,0.002,Không Thích
1,1,1,2,1888,248.69,24.19,-19.56,0.002,Không Thích
0,1,1,2,1888,231.81,33.25,-44.63,0.003,Không Thích
2,3,0,1,1888,215.31,39.44,-67.12,0.003,Không Thích
0,2,1,1,1889,216.31,40.31,-72.56,0.002,Không Thích
1,2,1,0,1888,216.94,46.38,-66.62,0.002,Không Thích
1,1,1,53,1888,217.5,50.88,-59.88,0.002,Không Thích
1,1,2,1,1889,223.31,60.38,-41.63,0.002,Không Thích
1,0,1,1,1888,239.75,90.87,-12.88,0.002,Không Thích
2,3,1,1,1888,302.12,98.62,20.62,0.002,Không Thích
1,2,0,0,1888,352.25,68.75,38.81,0.003,Không Thích
0,3,1,1,1889,20.31,45.13,34.38,0.002,Không Thích
97,2,2,3,1888,40.44,40.38,21.0,0.002,Không Thích
1,1,1,1,1888,40.19,40.06,20.94,0.001,Không Thích
0,1,1,1,1889,32.69,39.5,24.5,0.001,Không Thích
-1,1,1,0,1888,26.62,39.81,27.12,0.001,Không Thích
1,2,2,0,1888,29.5,38.88,25.37,0.002,Không Thích
0,2,1,0,1888,39.31,41.94,22.56,0.002,Không Thích
1,2,1,0,1888,33.06,40.31,22.62,0.002,Không Thích
0,1,1,1,1889,13.38,38.25,25.62,0.001,Không Thích
0,3,1,1,1889,338.06,46.88,31.06,0.002,Không Thích
1,2,1,0,1888,294.94,51.94,19.06,0.003,Không Thích
0,1,446,1,1888,262.06,54.06,-7.25,0.003,Không Thích
1,2,1,1,1889,245.75,55.38,-26.81,0.002,Không Thích
1,0,1,2,1888,221.69,64.31,-54.13,0.003,Không Thích
1,0,1,-1,1888,197.87,80.87,-79.0,0.002,Không Thích
1,1,1,0,1889,199.37,84.25,-79.37,0.001,Không Thích
-2,1,0,0,1889,202.5,85.12,-76.12,0.002,Không Thích
1,2,2,1,1888,207.56,76.25,-71.31,0.002,Không Thích
0,0,2,1,1889,219.19,81.94,-51.0,0.002,Không Thích
-2,0,1,0,1888,257.37,96.56,-15.75,0.002,Không Thích
0,1,1,2,1888,318.12,87.62,17.5,0.002,Không Thích
-1,0,1,333,1889,1.37,61.5,33.94,0.003,Không Thích
0,-1,1,61,1888,25.62,38.81,26.06,0.003,Không Thích
348,1,0,1,1888,46.38,37.06,17.0,0.005,Không Thích
