flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,2,79,504,1889,273.75,55.13,17.56,0.002,Xin Chào
1,3,92,611,1889,285.81,58.69,3.06,0.029,Xin Chào
1,1,46,751,1888,302.56,58.56,-19.5,0.002,Xin Chào
0,0,80,612,1889,312.94,53.56,-31.94,0.006,Xin Chào
1,2,55,722,1888,306.94,55.38,-25.31,0.016,Xin Chào
1,2,39,492,1888,293.62,57.81,-8.75,0.024,Xin Chào
1,0,49,311,1889,278.69,55.0,6.94,0.005,Xin Chào
1,2,48,349,1889,276.44,54.88,9.06,0.027,Xin Chào
3,2,82,483,1889,292.25,57.06,-7.31,0.008,Xin Chào
0,3,86,411,1889,313.12,53.0,-25.94,0.014,Xin Chào
2,2,92,339,1889,321.56,49.19,-32.63,0.012,Xin Chào
0,1,115,624,1889,314.94,53.25,-26.31,0.011,Xin Chào
0,2,78,617,1889,296.56,57.31,-6.37,0.011,Xin Chào
1,1,144,634,1889,277.44,53.0,12.19,0.011,Xin Chào
1,1,79,719,1888,270.56,49.63,16.56,0.185,Xin Chào
2,2,73,561,1889,282.75,53.94,5.5,0.177,Xin Chào
0,0,60,656,1888,302.69,53.88,-15.81,0.196,Xin Chào
1,2,127,361,1889,317.5,47.75,-29.44,0.131,Xin Chào
0,1,98,681,1889,314.5,49.38,-27.75,0.192,Xin Chào
0,1,75,916,1888,302.25,53.63,-14.56,0.184,Xin Chào
1,1,26,569,1889,284.06,53.13,4.81,0.188,Xin Chào
2,2,76,812,1888,273.5,50.13,13.81,0.185,Xin Chào
1,2,76,839,1888,277.31,52.31,8.94,0.174,Xin Chào
3,1,52,687,1888,290.25,55.63,-7.0,0.175,Xin Chào
1,1,85,871,1888,307.06,54.06,-27.0,0.17,Xin Chào
2,2,140,269,1888,322.81,46.69,-40.19,0.166,Xin Chào
2,1,158,720,1889,321.5,46.88,-40.69,0.244,Xin Chào
1,1,139,632,1888,306.37,53.63,-26.25,0.112,Xin Chào
2,2,1,856,1888,291.06,56.06,-5.25,0.221,Xin Chào
2,1,1,592,1889,276.06,51.69,12.81,0.184,Xin Chào
2,3,2,826,1889,271.0,48.25,15.13,0.178,Xin Chào
2,3,2,606,1888,284.62,55.25,2.94,0.188,Xin Chào
2,1,2,854,1889,309.0,55.13,-22.87,0.186,Xin Chào
2,3,85,438,1888,332.19,42.56,-37.38,0.19,Xin Chào
1,2,170,265,1889,342.5,31.0,-42.69,0.013,Xin Chào
1,1,171,358,1888,334.94,35.88,-39.63,0.018,Xin Chào
1,1,2,638,1888,314.87,48.63,-27.12,0.002,Xin Chào
2,2,2,800,1888,294.0,56.06,-0.69,0.003,Xin Chào
2,1,1,826,1889,275.5,52.63,22.0,0.002,Xin Chào
1,2,2,755,1888,271.56,52.19,30.56,0.002,Xin Chào
2,1,13,506,1889,280.62,58.06,16.87,0.001,Xin Chào
0,1,29,463,1889,303.44,60.0,-16.62,0.003,Xin Chào
1,2,95,126,1889,324.44,49.63,-38.75,0.006,Xin Chào
1,2,164,295,1888,334.56,42.19,-45.06,0.004,Xin Chào
0,1,129,511,1888,325.37,47.25,-38.5,0.002,Xin Chào
1,1,9,359,1889,314.25,55.13,-15.94,0.013,Xin Chào
1,2,0,273,1889,297.0,56.88,13.56,0.016,Xin Chào
2,3,1,268,1889,276.87,49.75,28.12,0.008,Xin Chào
1,1,1,283,1889,272.56,48.94,28.44,0.001,Xin Chào
1,1,3,276,1889,281.37,53.75,12.19,0.001,Xin Chào
1,3,31,63,1888,298.37,56.56,-14.5,0.001,Xin Chào
1,0,64,18,1888,312.12,50.75,-33.44,0.004,Xin Chào
1,0,110,70,1889,317.12,44.0,-43.63,0.005,Xin Chào
0,0,89,2,1888,312.37,45.81,-39.44,0.003,Xin Chào
1,1,7,142,1888,298.94,53.31,-20.81,0.003,Xin Chào
2,2,0,102,1888,282.25,54.75,2.19,0.002,Xin Chào
2,2,1,364,1889,271.56,52.0,16.87,0.007,Xin Chào
1,2,2,424,1888,267.0,51.0,19.62,0.004,Xin Chào
1,1,0,211,1888,275.69,54.75,9.31,0.003,Xin Chào
0,2,2,217,1888,292.56,55.81,-10.88,0.002,Xin Chào
1,0,4,53,1888,310.31,48.88,-27.56,0.002,Xin Chào
0,1,82,92,1888,320.94,39.63,-35.75,0.004,Xin Chào
1,0,163,259,1889,320.44,37.0,-35.19,0.018,Xin Chào
2,3,149,103,1888,311.87,43.56,-27.12,0.008,Xin Chào
1,3,71,151,1888,300.19,51.38,-13.0,0.006,Xin Chào
1,2,66,165,1888,286.31,55.44,2.75,0.002,Xin Chào
2,1,144,171,1889,274.94,56.25,19.75,0.003,Xin Chào
1,3,103,280,1889,271.69,54.19,23.87,0.003,Xin Chào
1,1,26,315,1888,275.12,56.19,19.94,0.003,Xin Chào
0,2,108,266,1889,287.19,58.88,5.06,0.004,Xin Chào
0,2,85,318,1888,304.06,57.5,-15.19,0.004,Xin Chào
-1,1,97,310,1888,319.37,50.25,-29.5,0.004,Xin Chào
2,2,76,109,1889,321.69,46.38,-32.56,0.003,Xin Chào
1,1,163,74,1888,310.81,51.06,-23.31,0.005,Xin Chào
1,1,105,176,1888,296.62,54.44,-5.94,0.003,Xin Chào
2,1,117,123,1888,280.12,52.63,12.5,0.001,Xin Chào
2,2,66,6,1888,272.81,51.75,18.69,0.001,Xin Chào
1,1,78,49,1888,281.37,54.06,7.37,0.0,Xin Chào
2,1,67,251,1889,296.44,53.69,-7.94,0.001,Xin Chào
