flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,1,1,-1,1889,40.44,-37.94,16.44,0.002,Hẹn Hò
1,2,-1,2,1888,40.44,-38.0,16.5,0.002,Hẹn Hò
1,2,2,1,1888,40.38,-38.0,16.56,0.003,Hẹn Hò
0,0,0,1,1888,40.38,-38.0,16.5,0.003,Hẹn Hò
2,0,0,3,1888,40.31,-38.06,16.56,0.001,Hẹn Hò
1,0,2,1,1889,40.31,-38.06,16.5,0.003,Hẹn Hò
1,1,1,1,1888,40.31,-38.06,16.5,0.002,Hẹn Hò
2,0,1,1,1888,40.25,-38.06,16.5,0.002,Hẹn Hò
0,2,-1,2,1889,40.25,-38.13,16.44,0.003,Hẹn Hò
1,0,1,0,1888,40.25,-38.13,16.44,0.003,Hẹn Hò
1,2,1,3,1888,40.25,-38.13,16.44,0.001,Hẹn Hò
2,0,1,0,1889,40.25,-38.13,16.37,0.002,Hẹn Hò
2,2,0,2,1889,40.25,-38.13,16.31,0.002,Hẹn Hò
1,1,2,0,1889,40.25,-38.13,16.37,0.002,Hẹn Hò
0,1,1,1,1889,40.25,-38.13,16.37,0.002,Hẹn Hò
0,1,2,1,1888,40.25,-38.13,16.31,0.001,Hẹn Hò
1,0,-1,1,1888,40.25,-38.13,16.25,0.002,Hẹn Hò
1,0,3,1,1888,40.25,-38.13,16.31,0.002,Hẹn Hò
1,2,0,3,1889,40.25,-38.13,16.31,0.003,Hẹn Hò
1,1,2,2,1889,40.25,-38.13,16.31,0.002,Hẹn Hò
2,1,0,-1,1889,40.25,-38.13,16.31,0.002,Hẹn Hò
0,4,1,1,1888,40.25,-38.13,16.31,0.002,Hẹn Hò
0,1,1,2,1888,40.25,-38.13,16.31,0.002,Hẹn Hò
1,0,1,2,1888,40.25,-38.13,16.31,0.001,Hẹn Hò
0,2,0,1,1888,40.25,-38.13,16.31,0.001,Hẹn Hò
0,2,0,2,1888,40.25,-38.13,16.31,0.003,Hẹn Hò
0,2,1,0,1889,40.25,-38.13,16.37,0.001,Hẹn Hò
0,0,1,2,1888,40.25,-38.13,16.37,0.001,Hẹn Hò
0,1,0,0,1889,40.25,-38.13,16.37,0.001,Hẹn Hò
1,2,2,0,1888,40.25,-38.13,16.37,0.001,Hẹn Hò
0,0,1,1,1889,40.25,-38.13,16.44,0.002,Hẹn Hò
0,1,1,2,1888,40.19,-38.06,16.87,0.002,Hẹn Hò
1,2,1,2264,1888,42.56,-28.0,35.75,0.003,Hẹn Hò
17,12,0,1,1889,47.63,-7.19,51.0,0.001,Hẹn Hò
948,325,97,2,1889,56.25,5.12,54.56,0.001,Hẹn Hò
1306,750,3487,34,1888,69.0,16.56,51.44,0.002,Hẹn Hò
1021,2003,3837,2,1888,79.56,22.44,43.31,0.001,Hẹn Hò
1028,2731,5142,0,1888,86.06,23.44,35.94,0.001,Hẹn Hò
1295,3335,7081,1,1889,88.44,22.06,29.56,0.001,Hẹn Hò
538,2354,2917,1,1888,87.12,13.81,21.75,0.002,Hẹn Hò
1,18,20,2,1888,85.19,1.62,16.94,0.002,Hẹn Hò
0,2,1,2,1889,81.06,-9.88,15.5,0.002,Hẹn Hò
1,0,2,2,1888,72.12,-19.37,18.62,0.001,Hẹn Hò
1,1,1,3,1888,64.25,-26.12,25.94,0.001,Hẹn Hò
2,0,1,2,1889,59.19,-24.69,30.5,0.002,Hẹn Hò
1,2,1,2,1888,58.25,-25.31,31.0,0.001,Hẹn Hò
0,1,1,2,1888,58.0,-24.81,30.5,0.001,Hẹn Hò
1,2,2,1,1889,58.19,-24.62,30.94,0.001,Hẹn Hò
1,1,1,2,1888,58.69,-24.56,32.44,0.001,Hẹn Hò
2,1,2,2,1888,58.13,-24.44,39.06,0.0,Hẹn Hò
6,2,64,0,1889,66.0,-13.88,39.5,0.001,Hẹn Hò
453,359,1479,0,1889,82.62,0.62,38.13,0.003,Hẹn Hò
805,960,3954,1,1889,95.62,14.19,42.94,0.001,Hẹn Hò
1515,4090,6818,2,1905,102.25,23.81,48.25,0.001,Hẹn Hò
2666,5579,7047,3,1921,105.0,29.06,54.5,0.001,Hẹn Hò
3320,5813,8790,1,2113,108.06,31.62,64.06,0.001,Hẹn Hò
3348,5926,8852,2,2112,114.94,31.75,57.88,0.001,Hẹn Hò
3252,5771,8662,1,2064,123.12,32.5,50.44,0.001,Hẹn Hò
2741,5618,8041,1,2032,128.0,35.88,44.94,0.001,Hẹn Hò
3004,5326,8028,1,2048,129.94,42.69,43.31,0.001,Hẹn Hò
2393,5200,7784,1,2065,129.0,51.25,43.0,0.0,Hẹn Hò
2407,5082,7338,1,2048,129.06,60.69,42.19,0.001,Hẹn Hò
2357,4825,7644,1,2064,122.75,64.81,39.69,0.003,Hẹn Hò
2493,4981,7136,0,2080,125.12,70.19,35.69,0.003,Hẹn Hò
2402,4871,7141,1,2064,128.44,74.94,31.06,0.003,Hẹn Hò
2695,4644,6188,0,2049,130.69,79.0,29.25,0.002,Hẹn Hò
1364,4255,5217,0,1968,131.25,83.94,3.25,0.003,Hẹn Hò
617,3719,2943,2,1921,129.12,87.94,1.87,0.003,Hẹn Hò
2,3219,805,3,1888,122.0,87.25,2.37,0.004,Hẹn Hò
61,4212,2,22,1904,113.19,85.5,3.87,0.003,Hẹn Hò
174,4325,0,11,1905,104.44,82.75,74.06,0.002,Hẹn Hò
12,3891,1,142,1905,96.44,79.19,83.56,0.001,Hẹn Hò
72,3513,1,240,1904,90.0,74.81,89.25,0.002,Hẹn Hò
142,3736,0,226,1905,84.31,70.12,88.5,0.001,Hẹn Hò
116,3846,1,271,1904,75.81,64.19,84.19,0.001,Hẹn Hò
66,3945,1,415,1921,70.56,58.75,85.44,0.001,Hẹn Hò
92,3859,1,370,1952,70.5,58.0,86.31,0.001,Hẹn Hò
9,3581,0,383,1984,73.5,61.13,83.69,0.001,Hẹn Hò
9,3531,0,361,1920,77.0,64.69,80.31,0.0,Hẹn Hò
9,3789,0,452,1920,79.37,66.69,76.56,0.001,Hẹn Hò
14,3917,2,258,1904,77.44,67.12,69.12,0.001,Hẹn Hò
3,3839,3,213,1904,75.0,66.31,62.5,0.002,Hẹn Hò
3,2280,0,1,1889,71.87,63.75,53.75,0.001,Hẹn Hò
0,2,1,1,1905,69.69,57.88,46.25,0.001,Hẹn Hò
22,1,1,0,1921,65.0,47.19,40.44,0.001,Hẹn Hò
0,1,0,0,1889,57.25,29.44,32.06,0.001,Hẹn Hò
1,1,2,1,1888,52.44,9.81,28.25,0.003,Hẹn Hò
0,0,1,1,1889,55.31,1.12,19.75,0.002,Hẹn Hò
0,1,0,2,1889,53.31,-6.81,26.06,0.002,Hẹn Hò
0,1,1,1,1905,42.5,-23.87,37.63,0.0,Hẹn Hò
0,1,2,1,1888,32.75,-35.0,19.12,0.001,Hẹn Hò
2,0,0,11,1888,33.13,-36.06,17.75,0.002,Hẹn Hò
1,1,1,5,1889,33.06,-36.19,20.44,0.003,Hẹn Hò
1,3,-1,1,1889,32.69,-35.31,21.37,0.001,Hẹn Hò
0,3,2,1,1888,32.5,-34.88,21.87,0.001,Hẹn Hò
2,0,0,0,1889,32.38,-34.75,22.31,0.002,Hẹn Hò
2,1,1,3,1888,32.38,-34.69,22.5,0.003,Hẹn Hò
0,1,0,2,1888,32.38,-34.56,22.37,0.003,Hẹn Hò
-1,1,0,2,1889,32.44,-34.56,21.56,0.003,Hẹn Hò
2,2,1,1,1905,32.44,-34.56,20.87,0.002,Hẹn Hò
2,0,1,0,1937,32.31,-34.5,20.81,0.001,Hẹn Hò
2,0,-1,2,1953,31.31,-33.31,24.19,0.003,Hẹn Hò
2,1,-1,1,1936,32.44,-32.75,24.06,0.001,Hẹn Hò
2,1,0,1,1937,34.19,-32.25,26.31,0.001,Hẹn Hò
0,1,2,-2,1937,35.56,-31.56,27.37,0.001,Hẹn Hò
0,0,1,4,1937,35.44,-31.44,28.5,0.001,Hẹn Hò
2,0,1,2,1905,35.13,-31.0,30.12,0.001,Hẹn Hò
1,1,1,1,1905,34.81,-30.0,32.88,0.001,Hẹn Hò
-2,1,1,3,1905,35.06,-29.56,33.88,0.002,Hẹn Hò
2,0,2,1,1968,35.56,-29.75,32.75,0.001,Hẹn Hò
1,-1,0,1,1889,35.06,-29.81,33.38,0.0,Hẹn Hò
