flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
71,1,1,27,1889,251.31,-72.75,114.56,0.003,Không Thích
34,1,2,45,1888,251.31,-70.5,102.62,0.003,Không Thích
7,2,2,18,1888,252.5,-67.25,90.19,0.003,Không Thích
30,1,1,2,1888,254.44,-67.44,86.44,0.002,Không Thích
43,0,1,5,1889,255.0,-68.12,89.62,0.002,Không Thích
45,1,1,46,1889,254.44,-68.37,93.0,0.003,Không Thích
37,2,1,38,1889,254.31,-68.37,93.37,0.003,Không Thích
25,2,1,41,1888,254.56,-68.06,92.12,0.003,Không Thích
14,0,1,47,1888,255.31,-67.87,91.0,0.003,Không Thích
16,0,2,49,1889,255.44,-67.75,91.56,0.003,Không Thích
18,1,1,56,1888,255.19,-67.69,92.06,0.004,Không Thích
22,1,1,49,1889,255.37,-67.56,92.0,0.003,Không Thích
10,1,0,71,1889,255.69,-67.37,92.0,0.004,Không Thích
10,1,1,67,1888,255.75,-67.37,92.31,0.002,Không Thích
19,1,1,70,1888,255.75,-67.37,92.19,0.001,Không Thích
24,1,0,46,1888,255.75,-67.31,92.44,0.003,Không Thích
51,0,1,63,1889,255.94,-67.25,92.69,0.001,Không Thích
47,1,2,57,1889,256.19,-67.25,92.56,0.002,Không Thích
41,0,1,76,1888,256.19,-67.25,92.75,0.004,Không Thích
29,0,1,67,1889,256.19,-67.25,92.75,0.004,Không Thích
39,1,1,70,1889,256.25,-67.19,92.81,0.004,Không Thích
31,2,1,65,1889,256.25,-67.12,92.87,0.004,Không Thích
36,1,2,64,1888,256.25,-67.12,92.75,0.003,Không Thích
38,0,2,66,1888,256.25,-67.06,92.81,0.004,Không Thích
32,0,0,70,1889,256.25,-67.0,92.87,0.003,Không Thích
31,2,0,74,1888,256.31,-67.0,92.81,0.002,Không Thích
51,1,2,44,1889,256.5,-67.0,93.06,0.003,Không Thích
8,0,0,24,1936,270.62,-55.31,100.87,0.002,Không Thích
204,1,0,24,1952,308.5,-25.44,84.75,0.002,Không Thích
593,1,2,815,1889,333.44,4.56,62.94,0.003,Không Thích
27,1,171,1882,1905,1.25,30.87,47.38,0.002,Không Thích
2,2,229,798,1888,45.81,21.62,41.31,0.001,Không Thích
2,2,264,915,1888,52.0,23.56,44.69,0.001,Không Thích
0,1,691,741,1888,43.88,30.37,44.0,0.001,Không Thích
2,0,113,908,1889,41.88,30.75,43.56,0.001,Không Thích
1,2,495,424,1888,54.06,23.31,42.13,0.001,Không Thích
0,2,2,2,1888,45.63,21.87,40.06,0.002,Không Thích
1,1,-1,0,1889,26.19,22.81,38.13,0.002,Không Thích
-1,2,2,1,1888,7.5,16.19,40.44,0.001,Không Thích
155,2,2,910,1889,349.75,-0.25,47.75,0.002,Không Thích
275,2,1,573,1889,325.81,-16.31,62.69,0.002,Không Thích
5,2,1,6,1888,297.56,-34.56,74.56,0.001,Không Thích
1,1,1,1,1889,269.87,-48.69,76.06,0.001,Không Thích
1,1,1,3,1889,246.25,-65.69,89.25,0.001,Không Thích
0,2,2,2,1888,250.62,-70.81,137.5,0.001,Không Thích
1,2,1,2,1889,259.5,-68.5,116.12,0.001,Không Thích
1,1,0,2,1888,257.06,-62.75,91.19,0.002,Không Thích
1,1,1,21,1889,258.94,-61.13,82.0,0.002,Không Thích
1,1,1,16,1889,261.12,-63.31,81.69,0.002,Không Thích
0,3,1,27,1889,260.12,-64.69,89.56,0.003,Không Thích
-1,1,2,20,1888,258.94,-65.5,94.19,0.002,Không Thích
1,0,1,45,1889,257.56,-65.75,93.19,0.002,Không Thích
1,0,1,27,1888,258.12,-65.44,91.12,0.003,Không Thích
1,1,1,21,1888,259.0,-65.19,90.44,0.0,Không Thích
1,2,1,27,1888,258.94,-65.06,90.19,0.002,Không Thích
1,2,2,22,1888,259.87,-64.81,87.94,0.001,Không Thích
1,1,0,10,1889,260.75,-64.0,85.69,0.002,Không Thích
1,1,0,2,1889,261.0,-64.37,85.87,0.002,Không Thích
0,2,1,4,1888,260.25,-64.81,87.0,0.003,Không Thích
1,1,1,5,1888,260.62,-64.69,86.37,0.001,Không Thích
0,0,0,4,1888,261.0,-64.06,84.56,0.002,Không Thích
1,2,0,5,1889,260.69,-64.44,85.12,0.001,Không Thích
1,1,1,4,1889,260.06,-64.81,86.87,0.002,Không Thích
0,1,3,6,1888,259.5,-64.69,87.12,0.002,Không Thích
2,2,2,5,1888,259.62,-64.5,85.75,0.002,Không Thích
3,0,3,5,1889,260.12,-64.06,84.94,0.003,Không Thích
2,2,2,6,1889,261.5,-62.56,81.06,0.003,Không Thích
1,1,2,28,1889,262.0,-58.5,74.37,0.003,Không Thích
1,2,0,7,1888,263.75,-53.44,67.44,0.003,Không Thích
1,1,0,4,1889,265.81,-48.38,62.06,0.002,Không Thích
2,1,1,3,1888,268.75,-44.31,59.69,0.002,Không Thích
0,0,1,5,1888,280.81,-37.0,68.19,0.002,Không Thích
2,0,1,3,1889,298.56,-22.19,75.25,0.002,Không Thích
0,2,2,2,1888,314.5,-3.94,77.25,0.002,Không Thích
15,0,0,1,1889,328.37,8.63,78.06,0.002,Không Thích
79,2,1,3,1889,337.94,20.81,80.44,0.003,Không Thích
114,3,0,62,1889,349.87,38.13,91.12,0.003,Không Thích
1,1,1,4,1888,5.75,53.44,97.44,0.003,Không Thích
1,2,0,283,1889,19.25,49.13,58.38,0.004,Không Thích
1,1,20,284,1888,35.88,36.94,38.88,0.002,Không Thích
0,1,112,414,1888,49.0,23.25,34.56,0.002,Không Thích
0,2,260,1,1888,50.56,24.5,36.81,0.003,Không Thích
1,1,40,2,1889,42.44,28.62,39.5,0.002,Không Thích
1,1,1,1,1889,42.19,31.12,40.13,0.003,Không Thích
41,2,2,2,1888,50.0,25.44,40.25,0.003,Không Thích
1,1,2,2,1889,46.06,24.19,38.81,0.002,Không Thích
2,1,1,3,1888,30.69,26.0,36.13,0.002,Không Thích
1,1,1,1,1889,1.81,24.0,36.5,0.002,Không Thích
12,1,2,0,1888,340.25,9.31,43.88,0.004,Không Thích
230,1,1,76,1888,316.62,-17.12,55.88,0.003,Không Thích
144,2,1,41,1889,293.12,-44.19,65.87,0.002,Không Thích
2,1,1,1,1888,277.94,-55.88,67.25,0.002,Không Thích
0,2,0,3,1889,264.56,-57.56,77.31,0.002,Không Thích
2,3,3,0,1888,242.12,-70.62,115.62,0.001,Không Thích
2,1,1,2,1888,251.44,-71.12,147.62,0.003,Không Thích
2,1,2,0,1888,246.12,-71.56,116.25,0.002,Không Thích
1,2,2,2,1888,246.12,-65.37,98.25,0.002,Không Thích
0,1,1,1,1889,252.25,-64.44,95.69,0.002,Không Thích
2,1,1,1,1888,255.75,-66.0,97.69,0.002,Không Thích
1,2,2,1,1888,255.56,-66.94,99.62,0.003,Không Thích
1,1,0,0,1889,253.94,-66.44,99.31,0.001,Không Thích
1,0,1,1,1889,253.44,-66.44,99.62,0.002,Không Thích
1,2,0,2,1889,253.81,-66.87,99.69,0.001,Không Thích
1,1,1,0,1888,254.37,-66.62,99.06,0.002,Không Thích
0,1,1,2,1889,254.75,-66.62,98.37,0.002,Không Thích
0,2,1,0,1888,254.87,-66.62,98.25,0.002,Không Thích
0,0,1,2,1888,255.37,-66.56,98.75,0.001,Không Thích
1,1,1,1,1888,255.62,-66.44,98.5,0.002,Không Thích
1,1,1,1,1889,255.69,-66.44,98.19,0.002,Không Thích
1,1,2,1,1888,255.75,-66.37,98.5,0.003,Không Thích
0,2,1,3,1889,255.87,-66.37,98.56,0.002,Không Thích
0,3,1,1,1889,256.12,-66.31,98.25,0.002,Không Thích
1,1,1,1,1889,257.0,-65.75,97.25,0.004,Không Thích
1,2,1,0,1888,258.0,-64.0,94.0,0.002,Không Thích
1,1,1,1,1888,258.06,-60.19,83.56,0.003,Không Thích
0,1,2,1,1888,259.25,-57.25,76.44,0.003,Không Thích
1,1,1,1,1888,260.94,-54.75,69.69,0.003,Không Thích
1,1,2,1,1888,264.62,-52.06,70.31,0.004,Không Thích
0,1,3,1,1888,267.06,-50.38,69.31,0.002,Không Thích
0,1,1,2,1888,271.0,-47.38,70.12,0.002,Không Thích
1,1,2,1,1888,275.0,-41.63,69.75,0.001,Không Thích
3,2,1,2,1888,286.87,-33.31,73.44,0.002,Không Thích
0,1,2,2,1889,303.94,-15.56,75.0,0.002,Không Thích
1,2,1,1,1889,319.12,1.0,74.37,0.002,Không Thích
1,1,1,13,1889,322.44,-4.0,63.75,0.002,Không Thích
3,0,0,6,1889,333.5,1.87,57.88,0.003,Không Thích
2,1,1,1,1889,347.75,18.75,54.94,0.003,Không Thích
4,2,1,301,1889,3.0,32.44,53.38,0.001,Không Thích
1,1,1,393,1889,28.75,29.56,41.0,0.001,Không Thích
1,1,2,555,1888,46.44,25.06,38.56,0.003,Không Thích
1,0,482,4,1888,36.06,30.5,41.25,0.003,Không Thích
1,2,5,87,1888,33.56,30.06,40.44,0.003,Không Thích
1,1,284,447,1888,46.38,24.87,40.0,0.001,Không Thích
1,0,2,2,1889,36.56,26.12,41.5,0.002,Không Thích
3,2,2,2,1888,4.81,16.19,43.5,0.003,Không Thích
147,6,2,1251,1888,334.0,-9.13,50.81,0.004,Không Thích
110,1,0,312,1888,293.19,-46.88,52.19,0.001,Không Thích
1,1,1,15,1888,270.81,-63.75,32.63,0.003,Không Thích
1,1,0,3,1889,271.69,-62.69,39.13,0.003,Không Thích
